id,company,assignee,title,inventor/author,priority.date,filing/creation.date,publication.date,grant.date,result.link,representative.figure.link,inventorlocation
US-2015920-A,Boeing,Boeing Co,Retractable landing gear ,Frank R Canney,12603,12603,13058,13058,https://patents.google.com/patent/US2015920A/en,https://patentimages.storage.googleapis.com/fb/09/e9/1ae8e1670c800c/US2015920-drawings-page-1.png,"BLE LANDING GEAR Frank R. Canney, Seattle, Wash., "
US-2118998-A,Boeing,Boeing Aircraft Co,Interior trim for aircraft ,Alnutt Marvin,13737,13737,14031,14031,https://patents.google.com/patent/US2118998A/en,https://patentimages.storage.googleapis.com/ed/e8/46/cfb52cde2906a5/US2118998-drawings-page-1.png,"R TRIM FoR AIRCRAFT Marvin Alnutt, Seattle, Wash, "
US-2824664-A,Boeing,Boeing Co,Flame-resistant seal for fuel tanks ,"French Charles Kenneth, Robert J Dunsmoor",20519,20519,21241,21241,https://patents.google.com/patent/US2824664A/en,https://patentimages.storage.googleapis.com/54/70/28/4806508d51d550/US2824664-drawings-page-1.png,"eth French and Robert J Dnnsmoor, Seattle, Wash., "
US-2697566-A,Boeing,Boeing Co,Selective two or three control type system for aircraft ,Mansfield D Glass,18182,18182,20079,20079,https://patents.google.com/patent/US2697566A/en,https://patentimages.storage.googleapis.com/f0/f2/47/3d5db85e3507bf/US2697566-drawings-page-1.png,"M FOR AIRCRAFT Mansfield D. Glass, Wichita, Kane, "
US-2767978-A,Boeing,Boeing Co,Oleo snubbers ,Ernest B Keefer,19858,19858,20751,20751,https://patents.google.com/patent/US2767978A/en,https://patentimages.storage.googleapis.com/1f/b8/80/a8be1b92a97975/US2767978-drawings-page-1.png,"t OLEO SNUBBERS Ernest B. Keefer, Seattle, Wash., "
US-2250193-A,Boeing,Boeing Aircraft Co,Convertible seat and berth arrangement ,"Jr Elliott G Emery, Jr Hudson T Patten",13619,13619,15179,15179,https://patents.google.com/patent/US2250193A/en,https://patentimages.storage.googleapis.com/b1/15/bf/5697686eedd1d1/US2250193-drawings-page-1.png,"iott G. Emery, dr andfludson 'r. 2 Seattle, Wash, "
US-2636700-A,Boeing,Boeing Co,Airplane landing wheel brake control apparatus ,"Gordon W Yarber, Harry H Howell, Rush F Chase",18315,18315,19477,19477,https://patents.google.com/patent/US2636700A/en,https://patentimages.storage.googleapis.com/3a/07/4f/f4b7579efed205/US2636700-drawings-page-1.png,"rry H. 
Howell and Rush F. Chase, Seattle, Wash., "
US-2478878-A,Boeing,Boeing Co,Deicing wing construction ,"Louis H Smith, Perry A Dodson",16254,16254,18119,18119,https://patents.google.com/patent/US2478878A/en,https://patentimages.storage.googleapis.com/8e/45/4b/10b8e4b436c6ad/US2478878-drawings-page-1.png,"ta, Kaila, and Perry A. 
Dodson, Seattle, 
Wash., "
US-2560665-A,Boeing,Boeing Co,Door seal for pressurized aircraft ,William N Stark,16858,16858,18826,18826,https://patents.google.com/patent/US2560665A/en,https://patentimages.storage.googleapis.com/4d/6f/60/ec306b838a7feb/US2560665-drawings-page-1.png,"IZED AIRCRAFT William 'N. Stark, 'Kirkland, 'Wash "
US-2743889-A,Boeing,Boeing Co,Aircraft stabilizing control mechanism ,Roland J White,19145,19145,20576,20576,https://patents.google.com/patent/US2743889A/en,https://patentimages.storage.googleapis.com/b1/0c/28/c0edd94438e96b/US2743889-drawings-page-1.png,"TROLMECHAN ISM Roland J. White, Seattle', Wash'., "
US-2869807-A,Boeing,Boeing Co,Anti-skid brake control system with locked-wheel prevention apparatus ,"Francis G Hyland, Henry W Kassel",20240,20240,21570,21570,https://patents.google.com/patent/US2869807A/en,https://patentimages.storage.googleapis.com/c0/35/41/55a9e459fd827c/US2869807-drawings-page-1.png,"d, Bellevue, and Henry W. Kassel, Seattle, Wash., "
US-2324236-A,Boeing,Boeing Aircraft Co,Blower automatic throttle ,Nathan C Price,14406,14406,15900,15900,https://patents.google.com/patent/US2324236A/en,https://patentimages.storage.googleapis.com/4e/9e/b3/50ecede9c71205/US2324236-drawings-page-1.png,"TOMATIC THROTTLE Nathan C. Price, Seattle, Wash., "
US-2569542-A,Boeing,Boeing Co,Actuating screws ,"Wallace E Skidmore, Robert P Person, Terdina Frank",17142,17142,18903,18903,https://patents.google.com/patent/US2569542A/en,https://patentimages.storage.googleapis.com/38/c0/ea/7e946f67d77ec5/US2569542-drawings-page-1.png,"ert 1?. Person, and Frank Terdina, Seattle, Wash, "
US-2724284-A,Boeing,Boeing Co,Multiple lead antifriction screw devices ,"Roy H Anderson, Alfred B Youngs",19998,19998,20415,20415,https://patents.google.com/patent/US2724284A/en,https://patentimages.storage.googleapis.com/c4/3c/3e/15c42ae73d490e/US2724284-drawings-page-1.png,", Bellevue,and Alfred B. Young s, Seattle, Wash., "
US-2249339-A,Boeing,Boeing Aircraft Co,Detachably connected pumping assembly for aircraft ,"Edward C Wells, Wellwood E Beall",14080,14080,15172,15172,https://patents.google.com/patent/US2249339A/en,https://patentimages.storage.googleapis.com/3d/64/d0/af08456fb6657d/US2249339-drawings-page-1.png," C. Wells and Wellwood E. Beall, Seattle, 
Wash., "
US-2673048-A,Boeing,Boeing Co,Airplane elevator control system ,"Howard W Smith, Robert R Larson",18738,18738,19806,19806,https://patents.google.com/patent/US2673048A/en,https://patentimages.storage.googleapis.com/ce/1d/59/ff68b9142fb31b/US2673048-drawings-page-1.png,"tle, and Robert R. Larson, 
Mercer Island, Wash., "
